source_page,removed_pair_count
concepts,3
concepts_cluster-administration,5
concepts_cluster-administration_addons,1
concepts_overview,3
concepts_policy,1
contribute,3
contribute_analytics,4
contribute_generate-ref-docs,2
contribute_generate-ref-docs_contribute-upstream,11
contribute_generate-ref-docs_kubectl,14
contribute_generate-ref-docs_metrics-reference,4
contribute_generate-ref-docs_prerequisites-ref-docs,4
contribute_new-content,7
contribute_new-content_case-studies,2
contribute_new-content_new-features,9
contribute_new-content_open-a-pr,8
contribute_new-content_preview-locally,7
contribute_participate,12
contribute_review,1
contribute_review_for-approvers,12
contribute_review_reviewing-prs,5
contribute_style,1
contribute_style_content-organization,7
contribute_style_diagram-guide,14
contribute_style_hugo-shortcodes_index,10
contribute_style_page-content-types,8
home,9
kubernetes_docs_home,2
reference_access-authn-authz,1
reference_issues-security_issues,1
reference_kubectl_generated,1
reference_kubectl_generated_kubectl_auth,1
reference_kubectl_generated_kubectl_create_kubectl_create_service,1
reference_kubectl_generated_kubectl_rollout,1
reference_kubectl_generated_kubectl_set,1
reference_kubectl_quick-reference,1
reference_kubernetes-api,1
reference_kubernetes-api_cluster-resources_lease-v1,1
reference_kubernetes-api_other-resources_mutating-admission-policy-binding-list-v1beta1,1
reference_setup-tools_kubeadm_generated_kubeadm,1
reference_setup-tools_kubeadm_generated_kubeadm_upgrade_kubeadm_upgrade_node,1
reference_setup-tools_kubeadm_kubeadm-alpha,1
setup_best-practices,1
setup_learning-environment,2
setup_production-environment_tools,1
setup_production-environment_tools_kubeadm_create-cluster-kubeadm,1
setup_production-environment_turnkey-solutions,1
tasks,2
tasks_administer-cluster,1
tasks_administer-cluster_kubeadm,2
tasks_administer-cluster_manage-resources,1
tasks_administer-cluster_migrating-from-dockershim,1
tasks_configmap-secret,1
tasks_debug,2
tasks_debug_debug-application,1
tasks_debug_logging,1
tasks_debug_monitoring,1
tasks_extend-kubernetes_custom-resources,1
tasks_job,1
tasks_manage-kubernetes-objects,1
tasks_run-application,1
tasks_tls,1
tutorials,2
tutorials_configuration,1
tutorials_kubernetes-basics,1
tutorials_kubernetes-basics_deploy-app,1
tutorials_kubernetes-basics_explore,1
tutorials_kubernetes-basics_scale,1
tutorials_security,1
tutorials_stateful-application,1
