source_page,pair_count,covered,page_kind
concepts,2,yes,concept
concepts_architecture,16,yes,concept
concepts_architecture_cgroups,9,yes,concept
concepts_architecture_control-plane-node-communication,9,yes,concept
concepts_architecture_garbage-collection,9,yes,concept
concepts_architecture_mixed-version-proxy,6,yes,concept
concepts_cluster-administration,1,yes,concept
concepts_cluster-administration_addons,4,yes,concept
concepts_cluster-administration_admission-webhooks-good-practices,11,yes,concept
concepts_cluster-administration_coordinated-leader-election,8,yes,concept
concepts_cluster-administration_dra,9,yes,concept
concepts_cluster-administration_flow-control,10,yes,concept
concepts_cluster-administration_kube-state-metrics,5,yes,concept
concepts_cluster-administration_logging,11,yes,concept
concepts_cluster-administration_observability,9,yes,concept
concepts_cluster-administration_system-logs,16,yes,concept
concepts_cluster-administration_system-traces,9,yes,concept
concepts_configuration_liveness-readiness-startup-probes,7,yes,concept
concepts_configuration_manage-resources-containers,13,yes,concept
concepts_configuration_organize-cluster-access-kubeconfig,8,yes,concept
concepts_configuration_windows-resource-management,6,yes,concept
concepts_containers_container-environment,6,yes,concept
concepts_containers_container-lifecycle-hooks,12,yes,concept
concepts_containers_cri,6,yes,concept
concepts_containers_images,22,yes,concept
concepts_extend-kubernetes,22,yes,concept
concepts_extend-kubernetes_api-extension,3,yes,concept
concepts_extend-kubernetes_api-extension_apiserver-aggregation,4,yes,concept
concepts_extend-kubernetes_compute-storage-net,4,yes,concept
concepts_extend-kubernetes_compute-storage-net_device-plugins,14,yes,concept
concepts_extend-kubernetes_compute-storage-net_network-plugins,6,yes,concept
concepts_extend-kubernetes_operator,8,yes,concept
concepts_overview,12,yes,concept
concepts_overview_components,4,yes,concept
concepts_overview_kubectl,8,yes,concept
concepts_overview_kubernetes-api,12,yes,concept
concepts_overview_working-with-objects_annotations,7,yes,concept
concepts_overview_working-with-objects_common-labels,7,yes,concept
concepts_overview_working-with-objects_finalizers,7,yes,concept
concepts_overview_working-with-objects_names,6,yes,concept
concepts_overview_working-with-objects_namespaces,10,yes,concept
concepts_overview_working-with-objects_object-management,7,yes,concept
concepts_policy,8,yes,concept
concepts_policy_limit-range,9,yes,concept
concepts_policy_node-resource-managers,10,yes,concept
concepts_policy_resource-quotas,14,yes,concept
concepts_scheduling-eviction_dynamic-resource-allocation,24,yes,concept
concepts_scheduling-eviction_gang-scheduling,4,yes,concept
concepts_scheduling-eviction_kube-scheduler,8,yes,concept
concepts_scheduling-eviction_node-declared-features,5,yes,concept
concepts_scheduling-eviction_node-pressure-eviction,11,yes,concept
concepts_scheduling-eviction_pod-overhead,8,yes,concept
concepts_scheduling-eviction_resource-bin-packing,6,yes,concept
concepts_scheduling-eviction_scheduling-framework,12,yes,concept
concepts_scheduling-eviction_taint-and-toleration,13,yes,concept
concepts_scheduling-eviction_topology-spread-constraints,9,yes,concept
concepts_security_api-server-bypass-risks,16,yes,concept
concepts_security_hardening-guide_scheduler,11,yes,concept
concepts_security_linux-kernel-security-constraints,10,yes,concept
concepts_security_linux-security,1,yes,concept
concepts_security_pod-security-admission,15,yes,concept
concepts_security_pod-security-policy,2,yes,concept
concepts_security_pod-security-standards,8,yes,concept
concepts_security_rbac-good-practices,15,yes,concept
concepts_security_secrets-good-practices,8,yes,concept
concepts_services-networking_dns-pod-service,10,yes,concept
concepts_services-networking_dual-stack,11,yes,concept
concepts_services-networking_gateway,15,yes,concept
concepts_services-networking_ingress,8,yes,concept
concepts_services-networking_network-policies,12,yes,concept
concepts_services-networking_service,30,yes,concept
concepts_services-networking_windows-networking,12,yes,concept
concepts_storage_ephemeral-volumes,14,yes,concept
concepts_storage_persistent-volumes,21,yes,concept
concepts_storage_projected-volumes,14,yes,concept
concepts_storage_storage-limits,10,yes,concept
concepts_storage_volume-attributes-classes,10,yes,concept
concepts_storage_volume-health-monitoring,7,yes,concept
concepts_storage_volume-pvc-datasource,19,yes,concept
concepts_storage_volume-snapshot-classes,8,yes,concept
concepts_storage_volume-snapshots,15,yes,concept
concepts_storage_volumes,35,yes,concept
concepts_windows,2,yes,concept
concepts_windows_user-guide,13,yes,concept
concepts_workloads_autoscaling,11,yes,concept
concepts_workloads_autoscaling_horizontal-pod-autoscale,20,yes,concept
concepts_workloads_autoscaling_vertical-pod-autoscale,17,yes,concept
concepts_workloads_controllers_cron-jobs,23,yes,concept
concepts_workloads_controllers_deployment,30,yes,concept
concepts_workloads_controllers_job,42,yes,concept
concepts_workloads_controllers_replicaset,13,yes,concept
concepts_workloads_controllers_replicationcontroller,10,yes,concept
concepts_workloads_controllers_statefulset,32,yes,concept
concepts_workloads_controllers_ttlafterfinished,5,yes,concept
concepts_workloads_management,14,yes,concept
concepts_workloads_pods,27,yes,concept
concepts_workloads_pods_advanced-pod-config,15,yes,concept
